schemaname,tablename,indexname,indexdef
render,render_jobs,render_jobs_claim_ix,"CREATE INDEX render_jobs_claim_ix ON render.render_jobs USING btree (status, retry_after, priority, queued_at) WHERE (status = ANY (ARRAY['queued'::text, 'preparing'::text]))"
render,render_jobs,render_jobs_job_code_key,CREATE UNIQUE INDEX render_jobs_job_code_key ON render.render_jobs USING btree (job_code)
render,render_jobs,render_jobs_parent_ix,"CREATE INDEX render_jobs_parent_ix ON render.render_jobs USING btree (parent_job_id, parent_render_job_id)"
render,render_jobs,render_jobs_pkey,CREATE UNIQUE INDEX render_jobs_pkey ON render.render_jobs USING btree (id)
render,render_jobs,render_jobs_provider_task_ix,"CREATE INDEX render_jobs_provider_task_ix ON render.render_jobs USING btree (provider_code, provider_task_id) WHERE (provider_task_id IS NOT NULL)"
render,render_jobs,render_jobs_retry_ix,CREATE INDEX render_jobs_retry_ix ON render.render_jobs USING btree (retry_of_job_id)
system,api_providers,api_providers_pkey,CREATE UNIQUE INDEX api_providers_pkey ON system.api_providers USING btree (id)
system,api_providers,api_providers_provider_key_key,CREATE UNIQUE INDEX api_providers_provider_key_key ON system.api_providers USING btree (provider_key)
system,app_settings,app_settings_pkey,CREATE UNIQUE INDEX app_settings_pkey ON system.app_settings USING btree (id)
system,app_settings,app_settings_setting_key_key,CREATE UNIQUE INDEX app_settings_setting_key_key ON system.app_settings USING btree (setting_key)
system,database_versions,database_versions_pkey,CREATE UNIQUE INDEX database_versions_pkey ON system.database_versions USING btree (id)
system,database_versions,database_versions_version_code_key,CREATE UNIQUE INDEX database_versions_version_code_key ON system.database_versions USING btree (version_code)
system,foundation_versions,foundation_versions_pkey,CREATE UNIQUE INDEX foundation_versions_pkey ON system.foundation_versions USING btree (id)
system,foundation_versions,foundation_versions_version_code_key,CREATE UNIQUE INDEX foundation_versions_version_code_key ON system.foundation_versions USING btree (version_code)
system,navigation_menu_groups,ix_navigation_menu_groups_active_order,"CREATE INDEX ix_navigation_menu_groups_active_order ON system.navigation_menu_groups USING btree (is_active, sort_order, title)"
system,navigation_menu_groups,navigation_menu_groups_code_key,CREATE UNIQUE INDEX navigation_menu_groups_code_key ON system.navigation_menu_groups USING btree (code)
system,navigation_menu_groups,navigation_menu_groups_pkey,CREATE UNIQUE INDEX navigation_menu_groups_pkey ON system.navigation_menu_groups USING btree (id)
system,navigation_menu_items,ix_navigation_menu_items_group_active_order,"CREATE INDEX ix_navigation_menu_items_group_active_order ON system.navigation_menu_items USING btree (group_id, is_active, sort_order, title)"
system,navigation_menu_items,ix_navigation_menu_items_module_keys_gin,CREATE INDEX ix_navigation_menu_items_module_keys_gin ON system.navigation_menu_items USING gin (module_keys)
system,navigation_menu_items,navigation_menu_items_code_key,CREATE UNIQUE INDEX navigation_menu_items_code_key ON system.navigation_menu_items USING btree (code)
system,navigation_menu_items,navigation_menu_items_pkey,CREATE UNIQUE INDEX navigation_menu_items_pkey ON system.navigation_menu_items USING btree (id)
system,provider_credentials,ix_provider_credentials_provider,CREATE INDEX ix_provider_credentials_provider ON system.provider_credentials USING btree (provider_id)
system,provider_credentials,provider_credentials_credential_key_key,CREATE UNIQUE INDEX provider_credentials_credential_key_key ON system.provider_credentials USING btree (credential_key)
system,provider_credentials,provider_credentials_pkey,CREATE UNIQUE INDEX provider_credentials_pkey ON system.provider_credentials USING btree (id)
system,tenants,tenants_pkey,CREATE UNIQUE INDEX tenants_pkey ON system.tenants USING btree (id)
system,tenants,tenants_tenant_code_key,CREATE UNIQUE INDEX tenants_tenant_code_key ON system.tenants USING btree (tenant_code)
