schema_name,table_name,constraint_name,constraint_type,definition
public,todox_ai_provider_usage_log,todox_ai_provider_usage_log_provider_capability_id_fkey,f,FOREIGN KEY (provider_capability_id) REFERENCES todox_ai_provider_capability(id) ON DELETE SET NULL
public,todox_ai_provider_usage_log,todox_ai_provider_usage_log_provider_id_fkey,f,FOREIGN KEY (provider_id) REFERENCES todox_ai_provider(id) ON DELETE SET NULL
public,todox_customer_credit_transaction,ck_todox_customer_credit_transaction_type,c,"CHECK (((transaction_type)::text = ANY ((ARRAY['topup'::character varying, 'charge'::character varying, 'refund'::character varying, 'adjustment'::character varying, 'expire'::character varying, 'bonus'::character varying])::text[])))"
public,todox_customer_credit_transaction,todox_customer_credit_transaction_pkey,p,PRIMARY KEY (id)
public,token_transactions,token_transactions_customer_id_fkey,f,FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE
public,token_transactions,token_transactions_pkey,p,PRIMARY KEY (id)
public,token_wallets,token_wallets_customer_id_fkey,f,FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE CASCADE
public,token_wallets,token_wallets_customer_id_key,u,UNIQUE (customer_id)
public,token_wallets,token_wallets_pkey,p,PRIMARY KEY (id)
render,image_render_requests,image_render_requests_customer_id_fkey,f,FOREIGN KEY (customer_id) REFERENCES crm.customers(id)
render,image_render_requests,image_render_requests_pkey,p,PRIMARY KEY (id)
render,image_render_requests,image_render_requests_tenant_id_fkey,f,FOREIGN KEY (tenant_id) REFERENCES system.tenants(id)
render,image_render_requests,image_render_requests_user_id_fkey,f,FOREIGN KEY (user_id) REFERENCES auth.app_users(id)
render,marketing_image_render_logs,marketing_image_render_logs_pkey,p,PRIMARY KEY (id)
render,render_artifacts,render_artifacts_pkey,p,PRIMARY KEY (id)
render,render_artifacts,render_artifacts_render_job_id_fkey,f,FOREIGN KEY (render_job_id) REFERENCES render.render_jobs(id) ON DELETE CASCADE
render,render_artifacts,render_artifacts_scene_id_fkey,f,FOREIGN KEY (scene_id) REFERENCES render.render_scenes(id) ON DELETE SET NULL
render,render_events,render_events_pkey,p,PRIMARY KEY (id)
render,render_events,render_events_render_job_id_fkey,f,FOREIGN KEY (render_job_id) REFERENCES render.render_jobs(id) ON DELETE CASCADE
render,render_events,render_events_scene_id_fkey,f,FOREIGN KEY (scene_id) REFERENCES render.render_scenes(id) ON DELETE SET NULL
render,render_events,render_events_tenant_id_fkey,f,FOREIGN KEY (tenant_id) REFERENCES system.tenants(id)
render,render_job_events,ck_render_job_events_level,c,"CHECK (((level)::text = ANY ((ARRAY['debug'::character varying, 'info'::character varying, 'warning'::character varying, 'error'::character varying])::text[])))"
render,render_job_events,render_job_events_job_id_fkey,f,FOREIGN KEY (job_id) REFERENCES render.render_jobs(id) ON DELETE CASCADE
render,render_job_events,render_job_events_pkey,p,PRIMARY KEY (id)
render,render_job_events,render_job_events_tenant_id_fkey,f,FOREIGN KEY (tenant_id) REFERENCES system.tenants(id)
render,render_job_inputs,render_job_inputs_pkey,p,PRIMARY KEY (id)
render,render_job_inputs,render_job_inputs_render_job_id_fkey,f,FOREIGN KEY (render_job_id) REFERENCES render.render_jobs(id) ON DELETE CASCADE
render,render_job_snapshots,render_job_snapshots_job_id_fkey,f,FOREIGN KEY (job_id) REFERENCES render.render_jobs(id) ON DELETE CASCADE
render,render_job_snapshots,render_job_snapshots_pkey,p,PRIMARY KEY (id)
render,render_job_snapshots,render_job_snapshots_tenant_id_fkey,f,FOREIGN KEY (tenant_id) REFERENCES system.tenants(id)
render,render_job_snapshots,ux_render_job_snapshots_job,u,UNIQUE (job_id)
render,render_job_steps,render_job_steps_pkey,p,PRIMARY KEY (id)
render,render_job_steps,render_job_steps_render_job_id_fkey,f,FOREIGN KEY (render_job_id) REFERENCES render.render_jobs(id) ON DELETE CASCADE
render,render_job_steps,render_job_steps_render_job_id_step_key_key,u,"UNIQUE (render_job_id, step_key)"
render,render_jobs,fk_render_jobs_retry_of_job_id,f,FOREIGN KEY (retry_of_job_id) REFERENCES render.render_jobs(id) ON DELETE SET NULL NOT VALID
render,render_jobs,render_jobs_customer_id_fkey,f,FOREIGN KEY (customer_id) REFERENCES crm.customers(id)
render,render_jobs,render_jobs_customer_user_id_fkey,f,FOREIGN KEY (customer_user_id) REFERENCES auth.app_users(id)
render,render_jobs,render_jobs_job_code_key,u,UNIQUE (job_code)
render,render_jobs,render_jobs_pkey,p,PRIMARY KEY (id)
render,render_jobs,render_jobs_pricing_tier_id_fkey,f,FOREIGN KEY (pricing_tier_id) REFERENCES catalog.service_pricing_tiers(id)
render,render_jobs,render_jobs_service_id_fkey,f,FOREIGN KEY (service_id) REFERENCES catalog.services(id)
render,render_jobs,render_jobs_tenant_id_fkey,f,FOREIGN KEY (tenant_id) REFERENCES system.tenants(id)
render,render_scenes,render_scenes_pkey,p,PRIMARY KEY (id)
render,render_scenes,render_scenes_render_job_id_fkey,f,FOREIGN KEY (render_job_id) REFERENCES render.render_jobs(id) ON DELETE CASCADE
render,render_scenes,render_scenes_render_job_id_scene_index_version_key,u,"UNIQUE (render_job_id, scene_index, version)"
system,api_providers,api_providers_pkey,p,PRIMARY KEY (id)
system,api_providers,api_providers_provider_key_key,u,UNIQUE (provider_key)
system,app_settings,app_settings_pkey,p,PRIMARY KEY (id)
system,app_settings,app_settings_setting_key_key,u,UNIQUE (setting_key)
system,database_versions,database_versions_pkey,p,PRIMARY KEY (id)
system,database_versions,database_versions_version_code_key,u,UNIQUE (version_code)
system,foundation_versions,foundation_versions_pkey,p,PRIMARY KEY (id)
system,foundation_versions,foundation_versions_version_code_key,u,UNIQUE (version_code)
system,navigation_menu_groups,navigation_menu_groups_code_key,u,UNIQUE (code)
system,navigation_menu_groups,navigation_menu_groups_pkey,p,PRIMARY KEY (id)
system,navigation_menu_items,navigation_menu_items_code_key,u,UNIQUE (code)
system,navigation_menu_items,navigation_menu_items_group_id_fkey,f,FOREIGN KEY (group_id) REFERENCES system.navigation_menu_groups(id) ON DELETE CASCADE
system,navigation_menu_items,navigation_menu_items_pkey,p,PRIMARY KEY (id)
system,navigation_menu_items,navigation_menu_items_visibility_policy_check,c,"CHECK (((visibility_policy)::text = ANY ((ARRAY['always'::character varying, 'any_module'::character varying, 'admin_avatar_manager'::character varying])::text[])))"
system,provider_credentials,provider_credentials_credential_key_key,u,UNIQUE (credential_key)
system,provider_credentials,provider_credentials_pkey,p,PRIMARY KEY (id)
system,provider_credentials,provider_credentials_provider_id_fkey,f,FOREIGN KEY (provider_id) REFERENCES system.api_providers(id) ON DELETE CASCADE
system,tenants,tenants_pkey,p,PRIMARY KEY (id)
system,tenants,tenants_tenant_code_key,u,UNIQUE (tenant_code)
